key_state_name,State_name
andaman & nicobar islands,Andaman_&_Nicobar_Islands
andhra pradesh,Andhra_Pradesh
arunachal pradesh,Arunachal_Pradesh
assam,Assam
bihar,Bihar
chandigarh,Chandigarh
chhattisgarh,Chhattisgarh
chattisgarh,Chhattisgarh
dadra & nagar haveli,Dadra_Nagar_&_Haveli
daman & diu,Daman_&_Diu
goa,Goa
gujarat,Gujarat
haryana,Haryana
jammu_&_kashmir,Jammu_&_Kashmir
jammu & kashmir,Jammu_&_Kashmir
jharkhand,Jharkhand
karnataka,Karnataka
kerala,Kerala
kerela,Kerala
lakshadweep,Lakshadweep
madhya pradesh,Madhya_Pradesh
maharashtra,Maharashtra
manipur,Manipur
meghalaya,Meghalaya
mizoram,Mizoram
nagaland,Nagaland
nct of delhi,Delhi
odisha,Odisha
puducherry,Puducherry
punjab,Punjab
rajasthan,Rajasthan
sikkim,Sikkim
tamil nadu,Tamil_Nadu
tripura,Tripura
uttarakhand,Uttarakhand
uttar pradesh,Uttar_Pradesh
west bengal,West_Bengal
himachal pradesh,Himachal_Pradesh
national capital territory of delhi,Delhi
orissa,Odisha
pondicherry,Puducherry
uttaranchal,Uttarakhand
gujrat,Gujarat
kerla,Kerala
madras,Madras
mysore,Mysore
orrisa,Odisha
delhi,Delhi
jammu and kashmir,Jammu_&_Kashmir
a and n islands,Andaman_&_Nicobar_Islands
d and n haveli,Dadra_Nagar_&_Haveli
"goa, daman and diu","Goa,_Daman_&_Diu"
l m and a islands,Lakshadweep
"laccadive, minicoy and amindivi islands",Lakshadweep
"laccadive minicoy and amindivi islands",Lakshadweep
andaman and nicobar islands,Andaman_&_Nicobar_Islands
dadra and nagar haveli,Dadra_Nagar_&_Haveli
"goa, daman & diu","Goa,_Daman_&_Diu"
goa daman & diu,"Goa,_Daman_&_Diu"
goa_daman_and_diu,"Goa,_Daman_&_Diu"
andhra_pradesh,Andhra_Pradesh
himachal_pradesh,Himachal_Pradesh
west_bengal,West_Bengal
madhya_pradesh,Madhya_Pradesh
uttar_pradesh,Uttar_Pradesh
national_capital_territory_of_delhi,Delhi
jammu_kashmir,Jammu_&_Kashmir
arunachal_pradesh,Arunachal_Pradesh
arunachal,Arunachal_Pradesh
tamil_nadu,Tamil_Nadu
